episode,reward,length,epsilon
751,0,93,0.6868812145440241
752,20,210,0.6865377739367521
753,-30,287,0.6861945050497837
754,-110,93,0.6858514077972588
755,-110,82,0.6855084820933602
756,290,300,0.6851657278523136
757,-40,63,0.6848231449883875
758,-80,46,0.6844807334158933
759,-40,98,0.6841384930491854
760,-140,79,0.6837964238026608
761,-110,55,0.6834545255907595
762,-60,83,0.6831127983279641
763,-40,183,0.6827712419288002
764,-50,88,0.6824298563078359
765,-80,106,0.6820886413796821
766,-30,85,0.6817475970589922
767,100,254,0.6814067232604628
768,40,237,0.6810660198988326
769,-100,35,0.6807254868888832
770,20,142,0.6803851241454388
771,-60,99,0.6800449315833662
772,-140,53,0.6797049091175745
773,50,164,0.6793650566630158
774,330,300,0.6790253741346843
775,-100,15,0.678685861447617
776,-80,28,0.6783465185168932
777,-80,97,0.6780073452576348
778,20,165,0.6776683415850061
779,0,286,0.6773295074142136
780,-20,120,0.6769908426605066
781,-60,102,0.6766523472391763
782,-20,117,0.6763140210655568
783,90,156,0.6759758640550241
784,-60,50,0.6756378761229966
785,230,300,0.6753000571849351
786,-120,43,0.6749624071563427
787,-10,258,0.6746249259527646
788,-40,187,0.6742876134897883
789,-20,165,0.6739504696830434
790,330,300,0.673613494448202
791,-30,77,0.6732766877009779
792,-50,54,0.6729400493571275
793,-70,84,0.672603579332449
794,-150,21,0.6722672775427828
795,-100,28,0.6719311439040114
796,-50,47,0.6715951783320595
797,-90,82,0.6712593807428935
798,-140,32,0.6709237510525221
799,-70,72,0.6705882891769959
800,-70,73,0.6702529950324074
801,-30,292,0.6699178685348912
802,10,44,0.6695829096006238
803,-50,56,0.6692481181458235
804,-90,33,0.6689134940867506
805,-20,148,0.6685790373397072
806,-30,92,0.6682447478210375
807,30,294,0.667910625447127
808,-160,55,0.6675766701344035
809,-60,28,0.6672428817993363
810,-50,82,0.6669092603584367
811,-40,154,0.6665758057282575
812,-50,60,0.6662425178253933
813,-20,84,0.6659093965664807
814,-10,144,0.6655764418681975
815,0,266,0.6652436536472635
816,-10,187,0.6649110318204399
817,-80,93,0.6645785763045297
818,40,212,0.6642462870163774
819,10,276,0.6639141638728693
820,50,190,0.6635822067909328
821,-50,45,0.6632504156875374
822,-60,72,0.6629187904796937
823,-20,243,0.6625873310844539
824,20,282,0.6622560374189117
825,180,300,0.6619249094002023
826,40,166,0.6615939469455022
827,-10,80,0.6612631499720295
828,-50,112,0.6609325183970435
829,-140,32,0.660602052137845
830,-20,278,0.660271751111776
831,-130,41,0.6599416152362202
832,-80,46,0.6596116444286021
833,-80,75,0.6592818386063878
834,-80,70,0.6589521976870846
835,-90,45,0.6586227215882411
836,-140,22,0.658293410227447
837,10,58,0.6579642635223334
838,-110,85,0.6576352813905723
839,-30,127,0.657306463749877
840,-40,84,0.6569778105180021
841,-50,28,0.6566493216127431
842,40,226,0.6563209969519368
843,-80,58,0.6559928364534608
844,-10,80,0.6556648400352342
845,240,300,0.6553370076152166
846,50,177,0.655009339111409
847,-110,34,0.6546818344418533
848,10,77,0.6543544935246325
849,-130,15,0.6540273162778703
850,-120,85,0.6537003026197313
851,-10,130,0.6533734524684215
852,-20,255,0.6530467657421873
853,90,245,0.6527202423593162
854,210,300,0.6523938822381367
855,-60,98,0.6520676852970176
856,-140,39,0.6517416514543691
